140,제주특별자치도 서귀포시 표선면 표선중앙로80번길 9,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,솔잎다방,POINT (126.8317849 33.3258978),4.5
141,제주특별자치도 서귀포시 표선면 표선중앙로80번길 9,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,두리다방,POINT (126.8317849 33.3258978),4.5
142,제주특별자치도 서귀포시 표선면 표선중앙로 89,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,표선다방,POINT (126.8336204 33.3258943),4.5
143,제주특별자치도 서귀포시 표선면 표선중앙로 97,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,꼭지분식,POINT (126.8344185 33.3258919),4.5
144,제주특별자치도 서귀포시 성산읍 한도로 257 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,또와,POINT (126.6696618 33.3258417),4.5
145,제주특별자치도 서귀포시 표선면 표선중앙로 96,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,씨앤아이,POINT (126.8342123 33.3256492),4.5
146,제주특별자치도 서귀포시 표선면 표선중앙로 90 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,지에스25제주표선점,POINT (126.8335518 33.3256448),4.5
147,제주특별자치도 서귀포시 표선면 표선중앙로96번길 1 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,영화분식,POINT (126.8341283 33.3255023),4.5
148,제주특별자치도 서귀포시 표선면 표선중앙로96번길 12 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,팽이다방,POINT (126.8337299 33.3253166),4.5
149,제주특별자치도 서귀포시 표선면 표선동서로 239,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,큰손왕만두,POINT (126.8323332 33.3252096),4.5
150,제주특별자치도 서귀포시 표선면 민속해안로 587,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,씨유제주당케점,POINT (126.8430288 33.3250933),4.5
151,제주특별자치도 서귀포시 표선면 표선동서로 236,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,한라산백록다방,POINT (126.8324787 33.325009),4.5
